,Molecule ChEMBL ID,Canomial_smiles,pChEMBL Value
0,CHEMBL19464,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2)c1,8.0
1,CHEMBL193783,CCc1cc(/C=N/CC/N=C/c2cc(CC)sc2S)c(S)s1,5.22
2,CHEMBL191854,Cc1ccc(NC(=O)C(=O)NCc2ccc(/C=N\NC(=O)C(=O)Nc3cc(Cl)ccc3C)o2)cc1C,4.16
3,CHEMBL195104,O=C(Nc1ccc(Cc2ccc(O)c(NC(=O)c3ccccc3F)c2)cc1O)c1ccccc1F,4.48
4,CHEMBL195166,O=C(NCc1cccc(CNC(=O)C(=O)NCc2ccco2)c1)C(=O)NCc1ccco1,4.4
5,CHEMBL194550,O=C(N/N=C/c1ccc(O)cc1O)c1cc(C2CC2)[nH]n1,4.37
6,CHEMBL180164,O=C(NCc1ccco1)c1cc(C(=O)NCc2ccco2)cc(C(=O)NCc2ccco2)c1,5.1
7,CHEMBL176069,COc1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccccc3C(=O)O)c2)cc1,0.0
8,CHEMBL176127,O=C(O)c1cc(NS(=O)(=O)c2ccc(NCCCN3CCOCC3)c([N+](=O)[O-])c2)cc(C(=O)O)c1,4.0
9,CHEMBL195502,COC(=O)c1sccc1NC(=O)c1ccc(C(=O)Nc2ccsc2C(=O)OC)cc1,4.01
10,CHEMBL365182,O=C(Nc1ccc(Cc2ccc(NC(=O)c3cccc([N+](=O)[O-])c3)c(C(=O)O)c2)cc1C(=O)O)c1cccc([N+](=O)[O-])c1,4.89
11,CHEMBL176042,C/C(CC(=O)Nc1c(C)cc(C)cc1C)=N\NC(=O)c1ccc(O)cc1O,0.0
12,CHEMBL193769,O=C(O)c1cc(NS(=O)(=O)c2ccc(NCc3ccccc3)c([N+](=O)[O-])c2)cc(C(=O)O)c1,4.18
13,CHEMBL195455,COC(=O)C1=C(O)/C(=C\c2ccc(CNC(=O)C(=O)Nc3ccc(C)cc3)o2)N=C1C,4.09
14,CHEMBL97641,Oc1ccc(/C=C/c2ccc3ccc(/C=C/c4ccc(O)c(O)c4)c(O)c3n2)cc1O,5.47
15,CHEMBL59548,O=C(O)c1cc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)ccc1O,6.22
16,CHEMBL39823,Cc1ccc2ccc(C(=O)O)c(O)c2n1,0.0
17,CHEMBL58057,Oc1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1O,5.62
18,CHEMBL372325,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccc(OC)cc12,0.0
19,CHEMBL198001,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccccc12,5.28
20,CHEMBL197001,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c2ccc(Cl)cc12,4.99
21,CHEMBL196391,COc1ccc2c(c1)c(/C(O)=C/C(=O)C(=O)O)cn2Cc1ccc(F)cc1,5.57
22,CHEMBL194735,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c2ccc(Cl)cc12,6.01
23,CHEMBL186820,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c2ccccc12,5.08
24,CHEMBL194241,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c2ccc(OC)cc12,0.0
25,CHEMBL365604,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccc(Cl)cc12,4.94
26,CHEMBL196689,COc1ccc2c(c1)c(/C(O)=C/C(=O)C(=O)O)cn2Cc1ccccc1,5.67
27,CHEMBL363170,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccc(Cl)cc12,5.8
28,CHEMBL414850,O=C(NCc1ccc(F)cc1)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,6.92
29,CHEMBL197554,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccccc12,5.82
30,CHEMBL362916,CCOC(=O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c2ccccc12,5.27
31,CHEMBL1631331,COc1cc(/C=C/c2ccc3ccc(C(=O)[O-])c(O)c3n2)cc(O)c1O.[Na+],6.16
32,CHEMBL1631332,COc1cc(/C=C/c2ccc3ccc(C(=O)[O-])c(O)c3n2)cc(OC)c1O.[Na+],5.31
33,CHEMBL242926,CN(C)CC(=O)N1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,8.4
34,CHEMBL394786,CC(=O)N1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,7.5
35,CHEMBL242609,CC(C)N1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,6.89
36,CHEMBL243366,CCN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.48
37,CHEMBL243265,CN1CC[C@@H](O)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.68
38,CHEMBL226764,CN1CCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,6.92
39,CHEMBL428215,CN1CCOCC1c1nc(C(=O)NCCc2ccccc2)c(O)c(=O)n1C,7.15
40,CHEMBL244963,CN1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.0
41,CHEMBL244863,CN1CCOCC1c1nc(C(=O)NCc2cccc(Br)c2)c(O)c(=O)n1C,7.72
42,CHEMBL216683,CN1CCOCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,7.52
43,CHEMBL244904,CN1CCSCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.16
44,CHEMBL1230654,CCC[C@H](C(=O)O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,5.22
45,CHEMBL430194,CN1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)CC1=O,7.3
46,CHEMBL244520,CN1CC(F)(F)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.52
